name,weather,humidity,temp,speed,grnd_level,dt,hour
116,Goregaon,Clouds,87,300.02,4.36,1003,2024-07-26 11:15:15,11
117,Guhāgar,Clouds,80,301.22,6.48,994,2024-07-26 11:15:16,11
118,Hadgāon,Clouds,87,296.88,7.86,954,2024-07-26 11:15:18,11
119,Harnai,Clouds,45,306.92,3.21,873,2024-07-26 11:15:19,11
120,Hinganghāt,Rain,85,299.03,5.09,975,2024-07-26 11:15:20,11
121,Hingoli,Clouds,86,296.92,6.78,949,2024-07-26 11:15:21,11
122,Hīrāpur Hamesha,Rain,89,298.9,4.15,964,2024-07-26 11:15:21,11
123,Hīrāpur Hamesha,Rain,89,298.9,4.15,964,2024-07-26 11:15:21,11
124,Ichalkaranji,Clouds,78,298.71,9.11,942,2024-07-26 11:15:24,11
125,Igatpuri,Clouds,88,296.17,7.56,948,2024-07-26 11:15:24,11
126,Indāpur,Clouds,90,299.17,4.36,991,2024-07-26 11:15:25,11
127,Jaisingpur,Clouds,79,298.9,9.32,943,2024-07-26 11:15:25,11
128,Jalgaon,Clouds,76,301.06,6.59,976,2024-07-26 11:15:28,11
129,Jalgaon Jamod,Clouds,87,298.69,4.91,964,2024-07-26 11:15:28,11
130,Jalkot,Clear,45,299.65,3.51,755,2024-07-26 11:15:29,11
131,Jālna,Clouds,70,299.41,8.67,945,2024-07-26 11:15:29,11
132,Jamkhed,Clouds,79,297.24,8.94,933,2024-07-26 11:15:30,11
133,Giohar,Clouds,61,300.27,7.75,1002,2024-07-26 11:15:33,11
134,Jaysingpur,Clouds,79,298.88,9.35,943,2024-07-26 11:15:33,11
135,Jejūri,Clouds,85,296.28,7.47,929,2024-07-26 11:15:34,11
136,Jintūr,Clouds,84,296.71,6.96,953,2024-07-26 11:15:34,11
137,Juhu,Clouds,83,301.2,5.14,1000,2024-07-26 11:15:35,11
138,Junnar,Clouds,74,298.44,8.84,918,2024-07-26 11:15:37,11
139,Kadegaon,Clouds,79,298.39,7.77,934,2024-07-26 11:15:39,11
140,Kadus,Clouds,77,297.4,8.74,924,2024-07-26 11:15:39,11
141,Kāgal,Clouds,79,298.95,8.98,941,2024-07-26 11:15:40,11
142,Kaij,Clouds,83,296.44,9.18,927,2024-07-26 11:15:42,11
143,Kalamb,Clouds,74,298.18,9.17,924,2024-07-26 11:15:42,11
144,Kalamboli,Clouds,87,301.18,6.81,1001,2024-07-26 11:15:43,11
145,Kalamnūri,Clouds,85,297.11,7.21,950,2024-07-26 11:15:44,11
